Khối Lớp,Học Kỳ,STT,Mã Bài,Tên Bài Học,Tác Giả,Trọng Tâm Bài Học / Nội Dung,Phân Loại Nguồn,Tập / Trang SGK Đối Chiếu,Link Đọc Trực Tuyến
Lớp 5,Học kỳ 1,13,tv-g5-b13,Bài 13: Người gác rừng tí hon,Theo Báo Khăn Quàng Đỏ,"Ca ngợi lòng dũng cảm, tinh thần cảnh giác và ý thức trách nhiệm bảo vệ rừng của bạn nhỏ.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 5 Tập một — Trang 70, 71 (Chủ điểm 4: Giữ gìn màu xanh)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-5-tap-mot.4699740998
Lớp 5,Học kỳ 1,14,tv-g5-b14,Bài 14: Trồng rừng ngập mặn,Theo Phan Nguyên Hồng,"Hiểu giá trị to lớn của rừng ngập mặn trong việc chắn sóng bão, bảo vệ môi trường và bờ cõi đất nước.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 5 Tập một — Trang 76, 77 (Chủ điểm 4: Giữ gìn màu xanh)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-5-tap-mot.4699740998
Lớp 5,Học kỳ 1,15,tv-g5-b15,Bài 15: Hạt gạo làng ta,Trần Đăng Khoa,"Học thuộc lòng bài thơ, cảm nhận công lao nhọc nhằn của người mẹ nông dân làm ra hạt gạo chi viện cho tiền tuyến.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 5 Tập một — Trang 82, 83 (Chủ điểm 4: Giữ gìn màu xanh)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-5-tap-mot.4699740998
Lớp 5,Học kỳ 1,16,tv-g5-b16,Bài 16: Chuỗi ngọc lam,Theo Truyện nước ngoài,"Đọc hiểu câu chuyện nhân văn sâu sắc, ngợi ca tình yêu thương gia đình và tấm lòng nhân hậu sẻ chia giữa con người.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 5 Tập một — Trang 88, 89 (Chủ điểm 4: Giữ gìn màu xanh)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-5-tap-mot.4699740998
Lớp 5,Học kỳ 2,17,tv-g5-b17,Bài 17: Người công dân số Một (Phần 1),Hà Văn Cầu,"Đọc phân vai trích đoạn kịch lịch sử, khâm phục lòng yêu nước cháy bỏng và ý chí ra đi tìm đường cứu nước của người thanh niên Nguyễn Tất Thành.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 5 Tập hai — Trang 10, 11 (Chủ điểm 5: Người công dân)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-5-tap-hai.4699750731
Lớp 5,Học kỳ 2,18,tv-g5-b18,Bài 18: Người công dân số Một (Phần 2),Hà Văn Cầu,Khắc sâu mốc son lịch sử ngày Bác Hồ ra đi tìm đường cứu nước từ Bến cảng Nhà Rồng năm 1911.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 5 Tập hai — Trang 16, 17 (Chủ điểm 5: Người công dân)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-5-tap-hai.4699750731
Lớp 5,Học kỳ 2,19,tv-g5-b19,Bài 19: Thái sư Trần Thủ Độ,Theo Đại Việt sử ký toàn thư,"Đọc hiểu câu chuyện lịch sử, khâm phục đức tính chí công vô tư và sự nghiêm minh giữ gìn phép nước của Thái sư Trần Thủ Độ.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 5 Tập hai — Trang 22, 23 (Chủ điểm 6: Nhớ nguồn)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-5-tap-hai.4699750731
Lớp 5,Học kỳ 2,20,tv-g5-b20,Bài 20: Phong cảnh đền Hùng,Đoàn Minh Tuấn,"Đọc hiểu áng văn tả cảnh Đền Hùng tráng lệ, bồi dưỡng đạo lý truyền thống",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 5 Tập hai — Trang 28, 29 (Chủ điểm 6: Nhớ nguồn)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-5-tap-hai.4699750731
Lớp 5,Học kỳ 2,21,tv-g5-b21,Bài 21: Đất nước,Nguyễn Đình Thi,"Học thuộc lòng bài thơ Đất nước, cảm nhận niềm tự hào làm chủ giang sơn và truyền thống bất khuất của dân tộc Việt Nam.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 5 Tập hai — Trang 34, 35 (Chủ điểm 6: Nhớ nguồn)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-5-tap-hai.4699750731
Lớp 5,Học kỳ 2,22,tv-g5-b22,Bài 22: Nghĩa thầy trò,Hà Ân,"Đọc hiểu câu chuyện lịch sử về người thầy lỗi lạc Chu Văn An, bồi dưỡng truyền thống",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 5 Tập hai — Trang 40, 41 (Chủ điểm 7: Nghĩa sư đệ)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-5-tap-hai.4699750731
Lớp 5,Học kỳ 2,23,tv-g5-b23,Bài 23: Tranh làng Hồ,Nguyễn Tuân,Cảm nhận tình yêu và niềm tự hào về nghệ thuật tranh khắc gỗ dân gian Đông Hồ qua áng văn tinh tế của Nguyễn Tuân.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 5 Tập hai — Trang 46, 47 (Chủ điểm 7: Nghĩa sư đệ)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-5-tap-hai.4699750731
Lớp 5,Học kỳ 2,24,tv-g5-b24,Bài 24: Út Vịnh,Theo Báo Thiếu niên Tiền phong,Ca ngợi hành động dũng cảm quên mình cứu người và ý thức bảo vệ an toàn giao thông đường sắt của bạn Út Vịnh.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 5 Tập hai — Trang 52, 53 (Chủ điểm 8: Những chủ nhân tương lai)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-5-tap-hai.4699750731
Lớp 5,Học kỳ 2,25,tv-g5-b25,Bài 25: Đại hội Trạng Nguyên Tiếng Việt 5 Toàn Quốc,WonderKids — Tự sinh,"Tổng kết toàn diện kiến thức Ngữ pháp - Văn học cấp Tiểu học, sẵn sàng chuyển cấp vào Lớp 6 với nền tảng Tiếng Việt vững chắc.",NỘI DUNG TỰ SINH (WonderKids Bổ Trợ),Nội dung tự sinh,
